Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
"7","Angola","3104","Nutrient potash K2O (total)","5510","Production","tonnes","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E"
"7","Angola","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","1480.700000","A","2853.190000","A","4277.870000","A","2830.700000","A","5561.990000","A","2354.910000","Qm","7935.790000","A","7116.330000","Qm","7208.680000","A","8183.570000","Qm","14349.780000","Qm","15509.190000","A","9952.460000","Qm","8707.470000","Qm","8151.230000","A","13672.440000","A"
"7","Angola","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","0.000000","A","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","A","0.000000","E","0.000000","A","0.000000","A","2.640000","A","0.000000","A","60.000000","A","12.300000","A","0.020000","A","30.130000","A"
"7","Angola","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","1380.000000","Fb","2655.000000","Fb","4025.000000","Fb","2277.000000","Fb","4059.000000","Fb","3248.000000","Fb","15993.000000","Fb","6324.000000","Fb","8565.000000","Fb","23075.000000","Fb","14349.780000","Fb","15509.190000","Fb","9892.460000","Fb","8695.170000","Fb","8151.210000","Fb","13642.310000","Fb"
"8","Antigua and Barbuda","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E"
"8","Antigua and Barbuda","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","9.670000","A","33.090000","A","3.310000","A","83.110000","Qm","42.010000","Qm","10.190000","Qm","20.990000","Fm","31.790000","Qm","6.900000","Qm","15.600000","Qm","24.330000","Qm","30.210000","Qm","19.220000","Qm","7.690000","Qm","350.430000","Qm","7.420000","A"
"8","Antigua and Barbuda","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","0.010000","A","526.970000","A","0.230000","A","0.000000","Qm","0.000000","E","0.000000","Qm","0.000000","E","0.000000","Qm","0.000000","Qm","0.000000","E","0.000000","Qm","0.000000","Qm","0.020000","Qm","0.010000","Qm","0.000000","Qm","0.000000","Qm"
"8","Antigua and Barbuda","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","10.000000","Fb","33.000000","Fb","0.000000","Fb","17.000000","Fb","9.000000","Fb","2.000000","Fb","9.000000","Fb","23.000000","Fb","4.000000","Fb","4.000000","Fb","26.700000","Fb","32.410000","Fb","20.620000","Fb","8.520000","Fb","61.160000","E","8.980000","Fb"
"8","Antigua and Barbuda","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E"
"8","Antigua and Barbuda","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","16.000000","A","33.630000","A","13.350000","A","2.840000","Qm","17.220000","Qm","2.790000","Qm","9.080000","Fm","15.370000","Qm","3.720000","Qm","6.720000","Qm","8.360000","Qm","10.400000","Qm","8.510000","Qm","10.560000","Qm","6.660000","Qm","6.500000","A"
"8","Antigua and Barbuda","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","0.000000","A","526.970000","A","0.000000","A","0.360000","Qm","0.000000","E","0.000000","Qm","0.000000","E","0.000000","Qm","0.000000","Qm","0.000000","E","0.000000","Qm","0.000000","Qm","0.010000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm"
"8","Antigua and Barbuda","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","19.000000","Fb","34.000000","Fb","14.000000","Fb","6.000000","Fb","5.000000","Fb",,,"5.000000","Fb","15.000000","Fb","4.000000","Fb","7.000000","Fb","8.360000","Fb","10.400000","Fb","8.500000","Fb","10.560000","Fb","6.660000","Fb","6.500000","Fb"
"8","Antigua and Barbuda","3104","Nutrient potash K2O (total)","5510","Production","tonnes","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E"
"8","Antigua and Barbuda","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","16.000000","A","33.560000","A","13.090000","A","17.830000","Qm","2.840000","Qm","1.920000","Qm","8.260000","Fm","14.600000","Qm","3.690000","Qm","2.240000","Qm","4.330000","Qm","7.310000","Qm","2.690000","Qm","2.820000","Qm","5.030000","Qm","5.560000","A"
"8","Antigua and Barbuda","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","0.000000","A","526.970000","A","0.000000","A","0.000000","Qm","0.000000","E","0.000000","Qm","0.000000","E","0.000000","Qm","0.000000","Qm","0.000000","E","0.000000","Qm","0.000000","Qm","0.010000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm"
"8","Antigua and Barbuda","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","23.000000","Fb","42.000000","Fb","16.000000","Fb","1.000000","Fb","4.000000","Fb",,,,,"15.000000","Fb","4.000000","Fb","2.000000","Fb","4.330000","Fb","7.310000","Fb","2.680000","Fb","2.820000","Fb","5.030000","Fb","5.560000","Fb"
"9","Argentina","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","523700.000000","E","607492.000000","E","627693.000000","Qm","574741.000000","Qm","659115.000000","Qm","468938.000000","Qm","405948.000000","Qm","514223.000000","Qm","433113.000000","Qm","533256.000000","Qm","542503.000000","Qm","630491.640000","A","470858.260000","A","431740.000000","A","542945.760000","A","696686.610000","A"
"9","Argentina","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","212605.810000","A","269217.820000","A","370178.550000","A","303617.740000","A","393020.270000","A","639072.270000","A","431998.700000","A","176612.640000","A","546671.460000","Qm","552742.430000","Qm","401568.510000","Qm","401953.560000","Qm","412177.130000","Qm","285918.530000","Qm","549659.750000","Qm","519949.290000","A"
"9","Argentina","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","227023.530000","A","233248.590000","A","196727.610000","A","231929.690000","A","259302.880000","A","114946.980000","A","69960.690000","A","213024.730000","A","62176.310000","Qm","82384.040000","Qm","164342.040000","Qm","97804.250000","Qm","29755.620000","Qm","57123.150000","Qm","40612.090000","Qm","20350.580000","Qm"
"9","Argentina","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","534592.000000","Fb","740659.000000","Fb","796423.000000","Fb","640406.000000","Fb","787677.000000","Fb","981351.000000","Fb","761959.000000","Fb","477061.000000","Fb","771245.000000","Qm","857190.000000","Qm","734890.000000","Qm","788154.000000","Qm","784091.520000","A","603481.310000","A","929563.810000","A","975843.080000","A"
"9","Argentina","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes",,,,,,,,,,,,,,,,,,,,,,,"51600.000000","A","68400.000000","A","71000.000000","A","80000.000000","A","82800.000000","A"
"9","Argentina","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","285514.280000","A","418917.900000","A","590783.750000","A","559326.710000","A","674133.830000","A","820464.600000","A","437261.810000","A","302043.780000","A","557540.830000","Qm","721179.730000","Qm","515615.320000","Qm","518265.210000","Qm","539414.980000","Qm","378601.220000","Qm","688841.760000","Qm","579033.930000","A"
"9","Argentina","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","23.520000","A","171.850000","A","821.630000","A","1680.530000","A","558.220000","A","1018.030000","A","5754.720000","A","6498.610000","A","11775.820000","Qm","6975.140000","Qm","6681.820000","Qm","2587.650000","Qm","19420.520000","Qm","28128.030000","Qm","70116.400000","Qm","51965.700000","Qm"
"9","Argentina","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","286608.000000","Fb","420808.000000","Fb","565709.000000","Fb","513245.000000","Fb","618332.000000","Fb","766161.000000","Fb","436378.000000","Fb","296898.000000","Fb","683667.000000","Qm","724710.000000","Qm","595678.000000","Qm","601137.000000","Qm","561082.920000","A","424761.280000","A","649175.190000","A","640480.160000","A"
"9","Argentina","3104","Nutrient potash K2O (total)","5510","Production","tonnes",,,,,,,,,,,,,,,,,,,,,,,"0.000000","A","400.000000","A","400.000000","A","600.000000","A","660.000000","A"
"9","Argentina","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","21352.510000","A","39799.160000","A","34445.490000","A","46120.960000","A","38422.330000","A","47726.250000","A","45332.950000","A","15472.840000","A","46302.850000","Qm","38373.390000","Qm","40467.690000","Qm","41276.030000","Qm","53177.680000","Qm","45319.930000","Qm","55265.160000","Qm","62032.180000","A"
